Index,ID_x,Drug Name_x,Insurance,Check_x,Quantity,Net,Copay,Covered,Rxcui,Check_y,Title,Drug Name_y,Dosage Form,Strength,Units,Class,NDC,Drug,In Stock,Pack Size,AWP,ACQ,Price Update,Units Qty,Scripts,Drug Full Name,Db Status,ID_y,ClassDb,RxNorm Name,Cleaned Up Drug Name
101,101,FINASTERIDETAB1MG,CIMCARE-CSGMDPDPV,TRUE,,,,,200172,TRUE,Inventory Database X,FINASTERIDE,Tab,1,mg,Hair loss,12345-6789-01,FINASTERIDE Tab 1mg,,,,,,,,,SR-DB : Updated on 11/18/2024,140,Hair loss,finasteride 1 MG Oral Tablet,Finasteride Tablet 1 Mg
102,102,MINOXIDILTAB2.5MG,CIMCARE-CSGMDPDPV,TRUE,,,,,197987,TRUE,Inventory Database X,MINOXIDIL,Tab,2.5,mg,Hair loss,12345-6789-01,MINOXIDIL Tab 2.5mg,,,,,,,,,SR-DB : Updated on 11/18/2024,141,Hair loss,minoxidil 2.5 MG Oral Tablet,Minoxidil Tablet 2.5 Mg
103,103,HYDROQUINONECRE4%,CIMCARE-CSGMDPDPV,TRUE,,,,,197795,TRUE,Inventory Database X,HYDROQUINONE,Cre,4,%,Bleaching Cream,12345-6789-01,HYDROQUINONE Cre 4%,,,,,,,,,SR-DB : Updated on 11/18/2024,142,Bleaching Cream,hydroquinone 40 MG/ML Topical Cream,Hydroquinone Cream 4%
104,104,PERMETHRINCRE5%,CIMCARE-CSGMDPDPV,TRUE,60,4.92,0,,106387,TRUE,Inventory Database X,PERMETHRIN,Cre,5,%,Scabies,12345-6789-01,PERMETHRIN Cre 5%,,,,,,,,,SR-DB : Updated on 11/18/2024,143,Scabies,permethrin 50 MG/ML Topical Cream,Permethrin Cream 5%
105,106,FOLICACIDTAB1MG,CIMCARE-CSGMDPDPV,TRUE,30,NC,NC,,310410,TRUE,Inventory Database X,FOLIC ACID,Tab,1,mg,Other,12345-6789-01,FOLIC ACID Tab 1mg,,,,,,,,,SR-DB : Updated on 11/18/2024,145,Other,folic acid 1 MG Oral Tablet,Folic Acid Tablet 1 Mg
106,107,HYDROXYCHLORTAB200MG,CIMCARE-CSGMDPDPV,TRUE,30,$4.51 ,$0.00 ,,979092,TRUE,Inventory Database X,HYDROXYCHLOR,Tab,200,mg,Other,12345-6789-01,HYDROXYCHLOR Tab 200mg,,,,,,,,,SR-DB : Updated on 11/18/2024,146,Other,hydroxychloroquine sulfate 200 MG Oral Tablet,Hydroxychlor Tablet 200 Mg
107,108,HYDROXYZHCLTAB10MG,CIMCARE-CSGMDPDPV,TRUE,30,$0.86 ,$0.00 ,,995218,TRUE,Inventory Database X,HYDROXYZ HCL,Tab,10,mg,Other,12345-6789-01,HYDROXYZ HCL Tab 10mg,,,,,,,,,SR-DB : Updated on 11/18/2024,147,Other,hydroxyzine hydrochloride 10 MG Oral Tablet,Hydroxyz Hcl Tablet 10 Mg
108,109,HYDROXYZHCLTAB25MG,CIMCARE-CSGMDPDPV,TRUE,30,$0.70 ,$0.00 ,,995258,TRUE,Inventory Database X,HYDROXYZ HCL,Tab,25,mg,Other,12345-6789-01,HYDROXYZ HCL Tab 25mg,,,,,,,,,SR-DB : Updated on 11/18/2024,148,Other,hydroxyzine hydrochloride 25 MG Oral Tablet,Hydroxyz Hcl Tablet 25 Mg
109,111,LIDOCORTCRE3-0.5%,CIMCARE-CSGMDPDPV,TRUE,1,NC,NC,,1012235,TRUE,Inventory Database X,LIDOCORT,Cre,3-0.5,%,Other,12345-6789-01,LIDOCORT Cre 3-0.5%,,,,,,,,,SR-DB : Updated on 11/18/2024,150,Other,hydrocortisone acetate 5 MG/ML / lidocaine hydrochloride 30 MG/ML Rectal Cream,Lidocort Cream 3-0.5%
110,112,METHOTREXATETAB2.5MG,CIMCARE-CSGMDPDPV,TRUE,85,NC,NC,,328407,TRUE,Inventory Database X,METHOTREXATE,Tab,2.5,mg,Other,12345-6789-01,METHOTREXATE Tab 2.5mg,,,,,,,,,SR-DB : Updated on 11/18/2024,151,Other,methotrexate 2.5 MG,Methotrexate Tablet 2.5 Mg
111,113,PODOFILOXSOL0.5%,CIMCARE-CSGMDPDPV,TRUE,30,$2.56 ,$0.00 ,,582926,TRUE,Inventory Database X,PODOFILOX,Sol,0.5,%,Other,12345-6789-01,PODOFILOX Sol 0.5%,,,,,,,,,SR-DB : Updated on 11/18/2024,152,Other,podofilox 5 MG/ML Topical Solution,Podofilox Solution 0.5%
112,114,SPIRONOLACTTAB50MG,CIMCARE-CSGMDPDPV,TRUE,3.5,NC,NC,,198223,TRUE,Inventory Database X,SPIRONOLACT,Tab,50,mg,Other,12345-6789-01,SPIRONOLACT Tab 50mg,,,,,,,,,SR-DB : Updated on 11/18/2024,153,Other,spironolactone 50 MG Oral Tablet,Spironolact Tablet 50 Mg
113,115,DOXEPINHCLCRE5%,CIMCARE-CSGMDPDPV,TRUE,30,$2.95 ,$0.00 ,,1000091,TRUE,Inventory Database X,DOXEPIN HCL,Cre,5,%,Other,12345-6789-01,DOXEPIN HCL Cre 5%,,,,,,,,,SR-DB : Updated on 11/18/2024,154,Other,doxepin hydrochloride 50 MG/ML Topical Cream,Doxepin Hcl Cream 5%
114,117,DOXYCYCMONOHYDRATECAP50MG,CIMCARE-CSGMDPDPV,TRUE,45,NC,NC,,1649401,TRUE,Inventory Database X,DOXYCYC MONO,Cap,50,mg,ABX Orals,12345-6789-01,DOXYCYC MONO Cap 50mg,,,,,,,,,SR-DB : Updated on 11/18/2024,9,ABX Orals,doxycycline monohydrate 50 MG Oral Capsule,Doxycycline Monohydrate Capsule 50 Mg
116,119,CLINDAM/BENZGEL1.2-2.5%,CIMCARE-CSGMDPDPV,TRUE,50,NC,NC,,1424013,TRUE,Inventory Database,CLIND/BENZ,Gel,1.2-3.75,%,Acne Topical ABX,51672-1403-04,CLIND/BENZ Gel 1.2-3.75%,100,50,$694.31 ,$130.00 ,8/29/2024,50,1,CLIND/BENZ GEL 1.2-3.75,SR-DB : Updated on 11/18/2024,230,Acne Topical ABX,benzoyl peroxide 30 MG/ML / salicylic acid 20 MG/ML / sulfur 20 MG/ML Medicated Shampoo [Vital-Benz],Clind/Benz Gel 1.2-3.75
117,120,CLINDAMY/BENGEL1-5%,CIMCARE-CSGMDPDPV,TRUE,50,NC,NC,,358917,TRUE,Inventory Database X,CLINDAMY/BEN,Gel,5-Jan,%,Acne Topical ABX,12345-6789-01,CLINDAMY/BEN Gel 1-5%,,,,,,,,,SR-DB : Updated on 11/18/2024,34,Acne Topical ABX,benzoyl peroxide 0.05 MG/MG / clindamycin 0.01 MG/MG Topical Gel,Clindamy/Ben Gel 1-5%
118,121,SODIUMSULFA10%WASH,CIMCARE-CSGMDPDPV,TRUE,480,NC,NC,,1006107,TRUE,Inventory Database,SODIUM SULFA,Wash,10,%,Anti-inflammatory,42192-0129-16,SODIUM SULFA Wash 10%,"7,680",480,$253.40 ,$35.00 ,10/16/2024,"1,440",3,SODIUM SULFA LIQ 10% WASH,SR-DB : Updated on 11/18/2024,344,Anti-inflammatory,sulfacetamide sodium 100 MG/ML Medicated Liquid Soap,Sodium Sulfa Liq 10% Wash
118,121,SODIUMSULFA10%WASH,CIMCARE-CSGMDPDPV,TRUE,480,NC,NC,,1101603,TRUE,Inventory Database X,SODIUM SULFA,Wash,10,%,Facewash,12345-6789-01,SODIUM SULFA Wash 10%,,,,,,,,,SR-DB : Updated on 11/18/2024,51,Facewash,Supra Sulfa,Sodium Sulfa Wash 10%
121,125,BENZOYLPERLIQ10%WASH,CIMCARE-CSGMDPDPV,TRUE,,,,,142034,TRUE,Inventory Database X,BENZOYL PER,Wash,10,%,Facewash,12345-6789-01,BENZOYL PER Wash 10%,,,,,,,,,SR-DB : Updated on 11/18/2024,47,Facewash,benzoyl peroxide 100 MG/ML Medicated Liquid Soap,Benzoyl Per Wash 10%
122,127,FLUOCINACETSOL0.01%,CIMCARE-CSGMDPDPV,TRUE,,,,,1191299,TRUE,Inventory Database,FLUOCIN ACET,Solution,0.01,%,Corticosteroid,21922-0003-01,FLUOCIN ACET Solution 0.01%,"1,020",60,$187.50 ,$9.19 ,8/29/2024,540,7,FLUOCIN ACET SOL 0.01%,SR-DB : Updated on 11/18/2024,290,Corticosteroid,fluocinolone acetonide 0.1 MG/ML Otic Solution,Fluocin Acetate Solution 0.01%
122,127,FLUOCINACETSOL0.01%,CIMCARE-CSGMDPDPV,TRUE,,,,,1191307,TRUE,Inventory Database,FLUOCIN ACET,Oil,0.01,%,Corticosteroid,64980-0330-04,FLUOCIN ACET Oil 0.01%,"1,656",118.28,$220.75 ,$12.73 ,8/29/2024,"2,720",23,FLUOCIN ACET OIL 0.01% SC,SR-DB : Updated on 11/18/2024,288,Corticosteroid,fluocinolone acetonide 0.1 MG/ML Topical Oil,Fluocin Acetate Oil 0.01% Sc
122,127,FLUOCINACETSOL0.01%,CIMCARE-CSGMDPDPV,TRUE,,,,,1191302,TRUE,Inventory Database,FLUOCIN ACET,Cream,0.01,%,Corticosteroid,00713-0223-60,FLUOCIN ACET Cream 0.01%,180,60,$133.96 ,$62.00 ,5/21/2024,240,2,FLUOCIN ACET CRE 0.01%,SR-DB : Updated on 11/18/2024,287,Corticosteroid,fluocinolone acetonide 0.1 MG/ML Topical Cream,Fluocin Acetate Cream 0.01%
125,128,HYDROCORTISOCRE2.5%,CIMCARE-CSGMDPDPV,TRUE,,,,,310891,TRUE,Inventory Database X,HYDROCORTISO,Cre,2.5,%,Medium Potency Topical Steroid,12345-6789-01,HYDROCORTISO Cre 2.5%,,,,,,,,,SR-DB : Updated on 11/18/2024,83,Medium Potency Topical Steroid,hydrocortisone 25 MG/ML Topical Cream,Hydrocortiso Cream 2.5%
127,130,TRIAMCINOLONCRE0.1%,CIMCARE-CSGMDPDPV,TRUE,,,,,1014314,TRUE,Inventory Database X,TRIAMCINOLON,Cre,0.1,%,Low Potency Topical Steroid,12345-6789-01,TRIAMCINOLON Cre 0.1%,,,,,,,,,SR-DB : Updated on 11/18/2024,91,Low Potency Topical Steroid,triamcinolone acetonide 1 MG/ML Topical Cream,Triamcinolon Cream 0.1%
129,132,PIMECROLIMUSCRE1%,CIMCARE-CSGMDPDPV,TRUE,,,,,562806,TRUE,Inventory Database X,PIMECROLIMUS,Cre,1,%,Non-Ster Anti-Inflam,12345-6789-01,PIMECROLIMUS Cre 1%,,,,,,,,,SR-DB : Updated on 11/18/2024,94,Non-Ster Anti-Inflam,pimecrolimus 10 MG/ML Topical Cream,Pimecrolimus Cream 1%
130,133,TACROLIMUSOIN0.03%,CIMCARE-CSGMDPDPV,TRUE,,,,,313189,TRUE,Inventory Database X,TACROLIMUS,Oin,0.03,%,Non-Ster Anti-Inflam,12345-6789-01,TACROLIMUS Oin 0.03%,,,,,,,,,SR-DB : Updated on 11/18/2024,95,Non-Ster Anti-Inflam,tacrolimus 0.0003 MG/MG Topical Ointment,Tacrolimus Oin 0.03%
131,134,TACROLIMUSOIN0.1%,CIMCARE-CSGMDPDPV,TRUE,,,,,314266,TRUE,Inventory Database X,TACROLIMUS,Oin,0.1,%,Non-Ster Anti-Inflam,12345-6789-01,TACROLIMUS Oin 0.1%,,,,,,,,,SR-DB : Updated on 11/18/2024,96,Non-Ster Anti-Inflam,tacrolimus 0.001 MG/MG Topical Ointment,Tacrolimus Oin 0.1%
132,135,CALCIPOTRIENCRE0.005%,CIMCARE-CSGMDPDPV,TRUE,,,,,313921,TRUE,Inventory Database X,CALCIPOTRIEN,Cre,0.005,%,Keratolytic,12345-6789-01,CALCIPOTRIEN Cre 0.005%,,,,,,,,,SR-DB : Updated on 11/18/2024,98,Keratolytic,calcipotriene 0.05 MG/ML Topical Cream,Calcipotrien Cream 0.005%
132,135,CALCIPOTRIENCRE0.005%,CIMCARE-CSGMDPDPV,TRUE,,,,,198373,TRUE,Inventory Database X,CALCIPOTRIEN,Oin,0.005,%,Keratolytic,12345-6789-01,CALCIPOTRIEN Oin 0.005%,,,,,,,,,SR-DB : Updated on 11/18/2024,99,Keratolytic,calcipotriene 0.00005 MG/MG Topical Ointment,Calcipotrien Oin 0.005%
134,137,CALCIPOTRIENOINBETAMETH,CIMCARE-CSGMDPDPV,TRUE,,,,,393355,TRUE,Inventory Database X,CALCIPOTRIEN BETAMETH,Oin,,,Keratolytic,12345-6789-01,CALCIPOTRIEN BETAMETH Oin,,,,,,,,,SR-DB : Updated on 11/18/2024,101,Keratolytic,betamethasone / calcipotriene Topical Ointment,Calcipotrien Betameth Oin
135,138,KETOCONAZOLEAER2%,CIMCARE-CSGMDPDPV,TRUE,,,,,203088,TRUE,Inventory Database X,KETOCONAZOLE,Sha,2,%,Anti-fungal,12345-6789-01,KETOCONAZOLE Sha 2%,,,,,,,,,SR-DB : Updated on 11/18/2024,53,Anti-fungal,ketoconazole 20 MG/ML Topical Cream,Ketoconazole Sha 2%
136,139,OXICONAZOLECRENITRATE,CIMCARE-CSGMDPDPV,TRUE,,,,,56226,TRUE,Inventory Database,OXICONAZOLE,Cream,0,,Antifungal,51672-1359-03,OXICONAZOLE Cream 0,"-1,830",60,$623.75 ,$138.99 ,8/29/2024,"4,350",71,OXICONAZOLE CRE NITRATE,SR-DB : Updated on 11/18/2024,333,Antifungal,oxiconazole nitrate,Oxiconazole Cream Nitrate
136,139,OXICONAZOLECRENITRATE,CIMCARE-CSGMDPDPV,TRUE,,,,,377915,TRUE,Inventory Database X,OXICONAZOLE,Cre,,,Anti-fungal,12345-6789-01,OXICONAZOLE Cre,,,,,,,,,SR-DB : Updated on 11/18/2024,110,Anti-fungal,oxiconazole Topical Cream,Oxiconazole Cream
139,141,CETIRIZINETAB5MG,CIMCARE-CSGMDPDPV,TRUE,,,,,1014676,TRUE,Inventory Database X,CETIRIZINE,Tab,5,mg,Antihistamines,12345-6789-01,CETIRIZINE Tab 5mg,,,,,,,,,SR-DB : Updated on 11/18/2024,124,Antihistamines,cetirizine hydrochloride 5 MG Oral Tablet,Cetirizine Tablet 5 Mg
141,143,CETIRIZINETAB10MG,CIMCARE-CSGMDPDPV,TRUE,,,,,1014678,TRUE,Inventory Database X,CETIRIZINE,Tab,10,mg,Antihistamines,12345-6789-01,CETIRIZINE Tab 10mg,,,,,,,,,SR-DB : Updated on 11/18/2024,123,Antihistamines,cetirizine hydrochloride 10 MG Oral Tablet,Cetirizine Tablet 10 Mg
142,144,LORATADINETAB10MG,CIMCARE-CSGMDPDPV,TRUE,,,,,311372,TRUE,Inventory Database X,LORATADINE,Tab,10,mg,Antihistamines,12345-6789-01,LORATADINE Tab 10mg,,,,,,,,,SR-DB : Updated on 11/18/2024,127,Antihistamines,loratadine 10 MG Oral Tablet,Loratadine Tablet 10 Mg
143,146,LOFENATAB25MG,CIMCARE-CSGMDPDPV,TRUE,,,,,2584350,TRUE,Inventory Database X,LOFENA,Tab,25,mg,Anti-inflammatory,12345-6789-01,LOFENA Tab 25mg,,,,,,,,,SR-DB : Updated on 11/18/2024,129,Anti-inflammatory,diclofenac potassium 25 MG Oral Tablet [Lofena],Lofena Tablet 25 Mg
145,148,AMMONIUMLACLOT12%,CIMCARE-CSGMDPDPV,TRUE,,,,,351312,TRUE,Inventory Database X,Ammonium lac,Lot,12,%,Moisturizer,12345-6789-01,Ammonium lac Lot 12%,,,,,,,,,SR-DB : Updated on 11/18/2024,137,Moisturizer,ammonium lactate 120 MG/ML Topical Lotion [Laclotion],Ammonium Lac Lotion 12%
151,159,CLEMASTINE,CIMCARE-CSGMDPDPV,TRUE,,,,,2578,TRUE,Inventory Database X,CLEMASTINE,Syp,N/A ,,Antihistamines,12345-6789-01,CLEMASTINE Syp N/A ,,,,,,,,,SR-DB : Updated on 11/18/2024,125,Antihistamines,clemastine,Clemastine Syp N/A
1,1,METRONIDAZOLGEL1%,HUMANA,TRUE,55,127.14,0,,577237,TRUE,Inventory Database X,METRONIDAZOL,Gel,1,%,Biopsy Topical ABX,12345-6789-01,METRONIDAZOL Gel 1%,,,,,,,,,SR-DB : Updated on 11/18/2024,30,Biopsy Topical ABX,metronidazole 0.01 MG/MG Topical Gel,Metronidazol Gel 1%
2,3,CLINDAMYCINLOT1%,HUMANA,TRUE,60,$40.95 ,1.55,,197519,TRUE,Inventory Database X,CLINDAMYCIN,Lot,1,%,Acne Topical ABX,12345-6789-01,CLINDAMYCIN Lot 1%,,,,,,,,,SR-DB : Updated on 11/18/2024,36,Acne Topical ABX,clindamycin 10 MG/ML Topical Lotion,Clindamycin Lotion 1%
3,4,CLINDAMYCINSOL1%,HUMANA,TRUE,60,6.93,0,,309333,TRUE,Inventory Database X,CLINDAMYCIN,Sol,1,%,Acne Topical ABX,12345-6789-01,CLINDAMYCIN Sol 1%,,,,,,,,,SR-DB : Updated on 11/18/2024,37,Acne Topical ABX,clindamycin 10 MG/ML Topical Solution,Clindamycin Solution 1%
4,5,METRONIDAZOLCRE0.75%,HUMANA,TRUE,45,51.63,64.52,,311678,TRUE,Inventory Database X,METRONIDAZOL,Cre,0.75,%,Biopsy Topical ABX,12345-6789-01,METRONIDAZOL Cre 0.75%,,,,,,,,,SR-DB : Updated on 11/18/2024,28,Biopsy Topical ABX,metronidazole 7.5 MG/ML Topical Cream,Metronidazol Cream 0.75%
5,6,METRONIDAZOLGEL0.75%,HUMANA,TRUE,45,34.94,42.6,,311679,TRUE,Inventory Database X,METRONIDAZOL,Gel,0.75,%,Biopsy Topical ABX,12345-6789-01,METRONIDAZOL Gel 0.75%,,,,,,,,,SR-DB : Updated on 11/18/2024,29,Biopsy Topical ABX,metronidazole 0.0075 MG/MG Topical Gel,Metronidazol Gel 0.75%
6,7,HYDROCORTISOLOT0.1%,HUMANA,TRUE,118,NC,NC,,103403,TRUE,Inventory Database X,HYDROCORTISO,Lot,0.1,%,Scalp Topical Steroids,12345-6789-01,HYDROCORTISO Lot 0.1%,,,,,,,,,SR-DB : Updated on 11/18/2024,65,Scalp Topical Steroids,hydrocortisone 10 MG/ML Topical Lotion,Hydrocortiso Lotion 0.1%
7,8,FLURANDRENOLLOT0.05%,HUMANA,TRUE,120,NC,NC,,197719,TRUE,Inventory Database X,FLURANDRENOL,Lot,0.05,%,Scalp Topical Steroids,12345-6789-01,FLURANDRENOL Lot 0.05%,,,,,,,,,SR-DB : Updated on 11/18/2024,64,Scalp Topical Steroids,flurandrenolide 0.5 MG/ML Topical Lotion,Flurandrenol Lotion 0.05%
8,9,DESONIDELOT0.05%,HUMANA,TRUE,59,NC,NC,,197572,TRUE,Inventory Database X,DESONIDE,Lot,0.05,%,Scalp Topical Steroids,12345-6789-01,DESONIDE Lot 0.05%,,,,,,,,,SR-DB : Updated on 11/18/2024,60,Scalp Topical Steroids,desonide 0.5 MG/ML Topical Lotion,Desonide Lotion 0.05%
9,13,CROTANLOT10%,HUMANA,TRUE,237,NC,NC,,2049603,TRUE,Inventory Database X,CROTAN,Lot,10,%,Non-Ster Anti-Inflam,12345-6789-01,CROTAN Lot 10%,,,,,,,,,SR-DB : Updated on 11/18/2024,93,Non-Ster Anti-Inflam,crotamiton 100 MG/ML Topical Lotion [Crotan],Crotan Lotion 10%
12,16,DOXYCYCLINETAB75MG,HUMANA,TRUE,30,22.31,NC,,350481,TRUE,Inventory Database X,DOXYCYCLINE Hyclate,Tab,75,mg,ABX Orals,12345-6789-01,DOXYCYCLINE Hyclate Tab 75mg,,,,,,,,,SR-DB : Updated on 11/18/2024,5,ABX Orals,doxycycline 75 MG,Doxycycline Hydrochloride Tablet 75 Mg
12,16,DOXYCYCLINETAB75MG,HUMANA,TRUE,30,22.31,NC,,1649429,TRUE,Inventory Database X,DOXYCYC MONO,Tab,75,mg,ABX Orals,12345-6789-01,DOXYCYC MONO Tab 75mg,,,,,,,,,SR-DB : Updated on 11/18/2024,4,ABX Orals,doxycycline monohydrate 75 MG Oral Tablet,Doxycycline Monohydrate Tablet 75 Mg
14,17,DOXYCYCLINETAB150MG,HUMANA,TRUE,30,NC,NC,,1650444,TRUE,Inventory Database X,DOXYCYC MONO,Tab,150,mg,ABX Orals,12345-6789-01,DOXYCYC MONO Tab 150mg,,,,,,,,,SR-DB : Updated on 11/18/2024,6,ABX Orals,doxycycline monohydrate 150 MG Oral Tablet,Doxycycline Monohydrate Tablet 150 Mg
15,18,CEPHALEXINCAP500MG,HUMANA,TRUE,40,1.5,0,,309114,TRUE,Inventory Database X,CEPHALEXIN,Cap,500,mg,ABX Orals,12345-6789-01,CEPHALEXIN Cap 500mg,,,,,,,,,SR-DB : Updated on 11/18/2024,8,ABX Orals,cephalexin 500 MG Oral Capsule,Cephalexin Capsule 500 Mg
16,20,MINOCYCLINECAP100MG,HUMANA,TRUE,50,14.04,1,,197984,TRUE,Inventory Database X,MINOCYCLINE,Cap,100,mg,ABX Orals,12345-6789-01,MINOCYCLINE Cap 100mg,,,,,,,,,SR-DB : Updated on 11/18/2024,13,ABX Orals,minocycline 100 MG Oral Capsule,Minocycline Capsule 100 Mg
17,21,AMNESTEEMCAP20MG,HUMANA,TRUE,,,,,404061,TRUE,Inventory Database X,AMNESTEEM,Cap,20,mg,Accutane,12345-6789-01,AMNESTEEM Cap 20mg,,,,,,,,,SR-DB : Updated on 11/18/2024,22,Accutane,isotretinoin 20 MG Oral Capsule [Amnesteem],Amnesteem Capsule 20 Mg
17,21,AMNESTEEMCAP20MG,HUMANA,TRUE,,,,,404064,TRUE,Inventory Database X,AMNESTEEM,Cap,40,mg,Accutane,12345-6789-01,AMNESTEEM Cap 40mg,,,,,,,,,SR-DB : Updated on 11/18/2024,23,Accutane,isotretinoin 40 MG Oral Capsule [Amnesteem],Amnesteem Capsule 40 Mg
19,23,ISOTRETINOINCAP30MG,HUMANA,TRUE,,,,,403930,TRUE,Inventory Database X,ISOTRETINOIN,Cap,30,mg,Accutane,12345-6789-01,ISOTRETINOIN Cap 30mg,,,,,,,,,SR-DB : Updated on 11/18/2024,24,Accutane,isotretinoin 30 MG Oral Capsule,Isotretinoin Capsule 30 Mg
20,24,ZENATANE10MG,HUMANA,TRUE,,,,,1373333,TRUE,Inventory Database X,ZENATANE,Cap,10,mg,Accutane,12345-6789-01,ZENATANE Cap 10mg,,,,,,,,,SR-DB : Updated on 11/18/2024,25,Accutane,isotretinoin 10 MG Oral Capsule [Zenatane],Zenatane Capsule 10 Mg
20,24,ZENATANE10MG,HUMANA,TRUE,,,,,1605088,TRUE,Inventory Database,ZENATANE,Capsule,30,mg,Acne Treatment,55111-0113-81,ZENATANE Capsule 30mg,270,30,$744.86 ,$47.49 ,8/16/2023,540,17,ZENATANE 30MG CAP,SR-DB : Updated on 11/18/2024,366,Acne Treatment,isotretinoin 30 MG Oral Capsule [Zenatane],Zenatane 30 Mg Capsule
22,25,IVERMECTINCRE1%,HUMANA,TRUE,30,NC,NC,,1598068,TRUE,Inventory Database X,IVERMECTIN,Cre,1,%,Acne Topical ABX,12345-6789-01,IVERMECTIN Cre 1%,,,,,,,,,SR-DB : Updated on 11/18/2024,41,Acne Topical ABX,ivermectin 10 MG/ML Topical Cream,Ivermectin Cream 1%
23,26,ERY/BENZOYLGEL5-3%,HUMANA,TRUE,46.6,NC,NC,,244374,TRUE,Inventory Database X,ERY/BENZOYL,Gel,3-May,%,Acne Topical ABX,12345-6789-01,ERY/BENZOYL Gel 5-3%,,,,,,,,,SR-DB : Updated on 11/18/2024,38,Acne Topical ABX,benzoyl peroxide 0.05 MG/MG / erythromycin 0.03 MG/MG Topical Gel,Ery/Benzoyl Gel 5-3%
24,27,MUPIROCINCRE2%,HUMANA,TRUE,30,NC,NC,,311877,TRUE,Inventory Database X,MUPIROCIN,Cre,2,%,Biopsy Topical ABX,12345-6789-01,MUPIROCIN Cre 2%,,,,,,,,,SR-DB : Updated on 11/18/2024,31,Biopsy Topical ABX,mupirocin 20 MG/ML Topical Cream,Mupirocin Cream 2%
24,27,MUPIROCINCRE2%,HUMANA,TRUE,30,NC,NC,,106346,TRUE,Inventory Database X,MUPIROCIN,Oin,2,%,Biopsy Topical ABX,12345-6789-01,MUPIROCIN Oin 2%,,,,,,,,,SR-DB : Updated on 11/18/2024,32,Biopsy Topical ABX,mupirocin 0.02 MG/MG Topical Ointment,Mupirocin Oin 2%
26,28,GENTAMICINCRE0.1%,HUMANA,TRUE,30,$38.91 ,48.9,,197735,TRUE,Inventory Database X,GENTAMICIN,Cre,0.1,%,Biopsy Topical ABX,12345-6789-01,GENTAMICIN Cre 0.1%,,,,,,,,,SR-DB : Updated on 11/18/2024,26,Biopsy Topical ABX,gentamicin 1 MG/ML Topical Cream,Gentamicin Cream 0.1%
26,28,GENTAMICINCRE0.1%,HUMANA,TRUE,30,$38.91 ,48.9,,310465,TRUE,Inventory Database X,GENTAMICIN,Oin,0.1,%,Biopsy Topical ABX,12345-6789-01,GENTAMICIN Oin 0.1%,,,,,,,,,SR-DB : Updated on 11/18/2024,27,Biopsy Topical ABX,gentamicin 0.001 MG/MG Topical Ointment,Gentamicin Oin 0.1%
28,30,BENZOYLPER10%WASH,HUMANA,TRUE,,,,,142034,TRUE,Inventory Database X,BENZOYL PER,Wash,10,%,Facewash,12345-6789-01,BENZOYL PER Wash 10%,,,,,,,,,SR-DB : Updated on 11/18/2024,47,Facewash,benzoyl peroxide 100 MG/ML Medicated Liquid Soap,Benzoyl Per Wash 10%
32,34,CICLOPIROXSHA1%,HUMANA,TRUE,120,NC,NC,,250344,TRUE,Inventory Database X,CICLOPIROX,Sha,1,%,Anti-fungal,12345-6789-01,CICLOPIROX Sha 1%,,,,,,,,,SR-DB : Updated on 11/18/2024,52,Anti-fungal,ciclopirox 10 MG/ML Medicated Shampoo,Ciclopirox Sha 1%
33,35,KETOCONAZOLESHA2%,HUMANA,TRUE,120,8.21,0,,203088,TRUE,Inventory Database X,KETOCONAZOLE,Sha,2,%,Anti-fungal,12345-6789-01,KETOCONAZOLE Sha 2%,,,,,,,,,SR-DB : Updated on 11/18/2024,53,Anti-fungal,ketoconazole 20 MG/ML Topical Cream,Ketoconazole Sha 2%
34,36,CLOBETASOLSHA0.05%,HUMANA,TRUE,118,NC,NC,,861448,TRUE,Inventory Database,CLOBETASOL,Ointment,0.05,%,High Potency Steroid,21922-0017-07,CLOBETASOL Ointment 0.05%,"1,020",60,$498.72 ,$3.95 ,3/20/2024,900,13,CLOBETASOL OIN 0.05%,SR-DB : Updated on 11/18/2024,244,High Potency Steroid,clobetasol propionate 0.0005 MG/MG Topical Ointment,Clobetasol Oin 0.05%
34,36,CLOBETASOLSHA0.05%,HUMANA,TRUE,118,NC,NC,,861487,TRUE,Inventory Database X,CLOBETASOL,Sol,0.05,%,Scalp Topical Steroids,12345-6789-01,CLOBETASOL Sol 0.05%,,,,,,,,,SR-DB : Updated on 11/18/2024,58,Scalp Topical Steroids,clobetasol propionate 0.5 MG/ML Topical Solution,Clobetasol Solution 0.05%
34,36,CLOBETASOLSHA0.05%,HUMANA,TRUE,118,NC,NC,,861353,TRUE,Inventory Database X,CLOBETASOL,Foam,0.05,%,Scalp Topical Steroids,12345-6789-01,CLOBETASOL Foam 0.05%,,,,,,,,,SR-DB : Updated on 11/18/2024,57,Scalp Topical Steroids,clobetasol propionate 0.5 MG/ML Topical Foam,Clobetasol Foam 0.05%
34,36,CLOBETASOLSHA0.05%,HUMANA,TRUE,118,NC,NC,,861434,TRUE,Inventory Database X,CLOBETASOL,Gel,0.05,%,High Potency Topical Steroid,12345-6789-01,CLOBETASOL Gel 0.05%,,,,,,,,,SR-DB : Updated on 11/18/2024,75,High Potency Topical Steroid,clobetasol propionate 0.0005 MG/MG Topical Gel,Clobetasol Gel 0.05%
