Index,ID,Drug,Insurance,Quantity,Net,Copay,Covered,Rxcui,Class,NDC,In Stock,Pack Size,AWP,ACQ,Price Update,Units Qty,Scripts,Db Status,RxNorm Name,Cleaned Up Drug Name
77,75,KETOCONAZOLE Foam 2%,HUMANA-Y9623,100,NC,NC,,728550,Anti-fungal,12345-6789-01,,,,,,,,SR-DB : Updated on 11/18/2024,ketoconazole 20 MG/ML Topical Foam,Ketoconazole Foam 2%
78,76,CICLOPIROX Cre 0.77%,HUMANA-Y9623,90,10.35,0,,309289,Anti-fungal,12345-6789-01,,,,,,,,SR-DB : Updated on 11/18/2024,ciclopirox 7.7 MG/ML Topical Cream,Ciclopirox Cream 0.77%
80,81,TAVABOROLE Sol 5%,HUMANA-Y9623,10,NC,NC,,1543177,Anti-fungal Nail,12345-6789-01,,,,,,,,SR-DB : Updated on 11/18/2024,tavaborole 43.5 MG/ML Topical Solution,Tavaborole Solution 5%
81,82,CICLOPIROX Sol 8%,HUMANA-Y9623,,,,,309291,Anti-fungal Nail,12345-6789-01,,,,,,,,SR-DB : Updated on 11/18/2024,ciclopirox 80 MG/ML Topical Solution,Ciclopirox Solution 8%
82,83,TERBINAFINE Tab 250mg,HUMANA-Y9623,,,,,329055,Anti-fungal Oral,12345-6789-01,,,,,,,,SR-DB : Updated on 11/18/2024,terbinafine 250 MG,Terbinafine Tablet 250 Mg
83,84,FLUCONAZOLE Tab 100mg,HUMANA-Y9623,,,,,197698,Anti-fungal Oral,12345-6789-01,,,,,,,,SR-DB : Updated on 11/18/2024,fluconazole 100 MG Oral Tablet,Fluconazole Tablet 100 Mg
84,85,FLUCONAZOLE Tab 200mg,HUMANA-Y9623,,,,,197700,Anti-fungal Oral,12345-6789-01,,,,,,,,SR-DB : Updated on 11/18/2024,fluconazole 200 MG Oral Tablet,Fluconazole Tablet 200 Mg
85,86,FLUOROURACIL Cre 5%,HUMANA-Y9623,40,31.69,0,,105583,Chemo Cream,12345-6789-01,,,,,,,,SR-DB : Updated on 11/18/2024,fluorouracil 50 MG/ML Topical Cream,Fluorouracil Cream 5%
86,87,IMIQUIMOD Cre 3.75%,HUMANA-Y9623,,,,,967017,Chemo Cream,12345-6789-01,,,,,,,,SR-DB : Updated on 11/18/2024,imiquimod 37.5 MG/ML Topical Cream,Imiquimod Cream 3.75%
87,88,IMIQUIMOD Cre 5%,HUMANA-Y9623,24,NC,NC,,310982,Chemo Cream,12345-6789-01,,,,,,,,SR-DB : Updated on 11/18/2024,imiquimod 50 MG/ML Topical Cream,Imiquimod Cream 5%
88,89,ACYCLOVIR Oin 5%,HUMANA-Y9623,30,NC,NC,,197312,Antiviral,12345-6789-01,,,,,,,,SR-DB : Updated on 11/18/2024,acyclovir 0.05 MG/MG Topical Ointment,Acyclovir Oin 5%
89,90,VALACYCLOVIR Tab 1gm,HUMANA-Y9623,,,,,313564,Antiviral,12345-6789-01,,,,,,,,SR-DB : Updated on 11/18/2024,valacyclovir 1000 MG Oral Tablet,Valacyclovir Tablet 1Gm
90,91,VALACYCLOVIR Tab 500mg,HUMANA-Y9623,,,,,330526,Antiviral,12345-6789-01,,,,,,,,SR-DB : Updated on 11/18/2024,valacyclovir 500 MG,Valacyclovir Tablet 500 Mg
91,92,CLEMASTINE Syp N/A ,HUMANA-Y9623,120,NC,NC,,2578,Antihistamines,12345-6789-01,,,,,,,,SR-DB : Updated on 11/18/2024,clemastine,Clemastine Syp N/A
92,93,LEVOCETIRIZI Tab 5mg,HUMANA-Y9623,30,4,0,,855172,Antihistamines,12345-6789-01,,,,,,,,SR-DB : Updated on 11/18/2024,levocetirizine dihydrochloride 5 MG Oral Tablet,Levocetirizi Tablet 5 Mg
93,94,DICLOFENAC Tab 25mg,HUMANA-Y9623,30,NC,NC,,2670401,Anti-inflammatory,12345-6789-01,,,,,,,,SR-DB : Updated on 11/18/2024,diclofenac 25 MG,Diclofenac Tablet 25 Mg
93,94,DICLOFENAC Cap 25mg,HUMANA-Y9623,30,NC,NC,,858342,Anti-inflammatory,12345-6789-01,,,,,,,,SR-DB : Updated on 11/18/2024,diclofenac 25 MG Oral Capsule,Diclofenac Capsule 25 Mg
95,95,MELOXICAM Cap 5mg,HUMANA-Y9623,30,NC,NC,,1722349,Anti-inflammatory,12345-6789-01,,,,,,,,SR-DB : Updated on 11/18/2024,meloxicam 5 MG Oral Capsule,Meloxicam Capsule 5 Mg
96,96,NAPROXEN Sus 125/5ml,HUMANA-Y9623,473,Discontinued,Discontinued,,311913,Anti-inflammatory,12345-6789-01,,,,,,,,SR-DB : Updated on 11/18/2024,naproxen 25 MG/ML Oral Suspension,Naproxen Sus 125/5Ml
97,97,PREDNISONE Tab 20mg,HUMANA-Y9623,30,2.84,0,,312615,Anti-inflammatory,12345-6789-01,,,,,,,,SR-DB : Updated on 11/18/2024,prednisone 20 MG Oral Tablet,Prednisone Tablet 20 Mg
98,98,PREDNISONE Tab 5mg,HUMANA-Y9623,30,2.91,0,,312617,Anti-inflammatory,12345-6789-01,,,,,,,,SR-DB : Updated on 11/18/2024,prednisone 5 MG Oral Tablet,Prednisone Tablet 5 Mg
99,99,ERGOT/CAFFEN Tab 1-100mg,HUMANA-Y9623,30,181.56,0,,91405,Headaches,12345-6789-01,,,,,,,,SR-DB : Updated on 11/18/2024,ergot preparation,Ergot/Caffen Tablet 1-100 Mg
100,100,DRYSOL Sol 20%,HUMANA-Y9623,,,,,206208,Hyperhydrosis,12345-6789-01,,,,,,,,SR-DB : Updated on 11/18/2024,aluminum chloride 200 MG/ML Topical Solution [Drysol],Drysol Solution 20%
101,101,FINASTERIDE Tab 1mg,HUMANA-Y9623,,,,,200172,Hair loss,12345-6789-01,,,,,,,,SR-DB : Updated on 11/18/2024,finasteride 1 MG Oral Tablet,Finasteride Tablet 1 Mg
102,102,MINOXIDIL Tab 2.5mg,HUMANA-Y9623,,,,,197987,Hair loss,12345-6789-01,,,,,,,,SR-DB : Updated on 11/18/2024,minoxidil 2.5 MG Oral Tablet,Minoxidil Tablet 2.5 Mg
103,103,HYDROQUINONE Cre 4%,HUMANA-Y9623,,,,,197795,Bleaching Cream,12345-6789-01,,,,,,,,SR-DB : Updated on 11/18/2024,hydroquinone 40 MG/ML Topical Cream,Hydroquinone Cream 4%
104,104,PERMETHRIN Cre 5%,HUMANA-Y9623,60,60.41,0,,106387,Scabies,12345-6789-01,,,,,,,,SR-DB : Updated on 11/18/2024,permethrin 50 MG/ML Topical Cream,Permethrin Cream 5%
105,106,FOLIC ACID Tab 1mg,HUMANA-Y9623,,,,,310410,Other,12345-6789-01,,,,,,,,SR-DB : Updated on 11/18/2024,folic acid 1 MG Oral Tablet,Folic Acid Tablet 1 Mg
106,107,HYDROXYCHLOR Tab 200mg,HUMANA-Y9623,,,,,979092,Other,12345-6789-01,,,,,,,,SR-DB : Updated on 11/18/2024,hydroxychloroquine sulfate 200 MG Oral Tablet,Hydroxychlor Tablet 200 Mg
107,108,HYDROXYZ HCL Tab 10mg,HUMANA-Y9623,,,,,995218,Other,12345-6789-01,,,,,,,,SR-DB : Updated on 11/18/2024,hydroxyzine hydrochloride 10 MG Oral Tablet,Hydroxyz Hcl Tablet 10 Mg
108,109,HYDROXYZ HCL Tab 25mg,HUMANA-Y9623,,,,,995258,Other,12345-6789-01,,,,,,,,SR-DB : Updated on 11/18/2024,hydroxyzine hydrochloride 25 MG Oral Tablet,Hydroxyz Hcl Tablet 25 Mg
109,111,LIDOCORT Cre 3-0.5%,HUMANA-Y9623,,,,,1012235,Other,12345-6789-01,,,,,,,,SR-DB : Updated on 11/18/2024,hydrocortisone acetate 5 MG/ML / lidocaine hydrochloride 30 MG/ML Rectal Cream,Lidocort Cream 3-0.5%
110,112,METHOTREXATE Tab 2.5mg,HUMANA-Y9623,,,,,328407,Other,12345-6789-01,,,,,,,,SR-DB : Updated on 11/18/2024,methotrexate 2.5 MG,Methotrexate Tablet 2.5 Mg
111,113,PODOFILOX Sol 0.5%,HUMANA-Y9623,,,,,582926,Other,12345-6789-01,,,,,,,,SR-DB : Updated on 11/18/2024,podofilox 5 MG/ML Topical Solution,Podofilox Solution 0.5%
112,114,SPIRONOLACT Tab 50mg,HUMANA-Y9623,,,,,198223,Other,12345-6789-01,,,,,,,,SR-DB : Updated on 11/18/2024,spironolactone 50 MG Oral Tablet,Spironolact Tablet 50 Mg
116,119,CLIND/BENZ Gel 1.2-3.75%,HUMANA-Y9623,50,NC,NC,,1424013,Acne Topical ABX,51672-1403-04,100,50,$694.31 ,$130.00 ,8/29/2024,50,1,SR-DB : Updated on 11/18/2024,benzoyl peroxide 30 MG/ML / salicylic acid 20 MG/ML / sulfur 20 MG/ML Medicated Shampoo [Vital-Benz],Clind/Benz Gel 1.2-3.75
117,120,CLINDAMY/BEN Gel 1-5%,HUMANA-Y9623,50,NC,NC,,358917,Acne Topical ABX,12345-6789-01,,,,,,,,SR-DB : Updated on 11/18/2024,benzoyl peroxide 0.05 MG/MG / clindamycin 0.01 MG/MG Topical Gel,Clindamy/Ben Gel 1-5%
118,121,SODIUM SULFA Wash 10%,HUMANA-Y9623,480,142.78,184.78,,1006107,Anti-inflammatory,42192-0129-16,"7,680",480,$253.40 ,$35.00 ,10/16/2024,"1,440",3,SR-DB : Updated on 11/18/2024,sulfacetamide sodium 100 MG/ML Medicated Liquid Soap,Sodium Sulfa Liq 10% Wash
118,121,SODIUM SULFA Wash 10%,HUMANA-Y9623,480,142.78,184.78,,1101603,Facewash,12345-6789-01,,,,,,,,SR-DB : Updated on 11/18/2024,Supra Sulfa,Sodium Sulfa Wash 10%
121,125,BENZOYL PER Wash 10%,HUMANA-Y9623,,,,,142034,Facewash,12345-6789-01,,,,,,,,SR-DB : Updated on 11/18/2024,benzoyl peroxide 100 MG/ML Medicated Liquid Soap,Benzoyl Per Wash 10%
122,127,FLUOCIN ACET Solution 0.01%,HUMANA-Y9623,,,,,1191299,Corticosteroid,21922-0003-01,"1,020",60,$187.50 ,$9.19 ,8/29/2024,540,7,SR-DB : Updated on 11/18/2024,fluocinolone acetonide 0.1 MG/ML Otic Solution,Fluocin Acetate Solution 0.01%
122,127,FLUOCIN ACET Oil 0.01%,HUMANA-Y9623,,,,,1191307,Corticosteroid,64980-0330-04,"1,656",118.28,$220.75 ,$12.73 ,8/29/2024,"2,720",23,SR-DB : Updated on 11/18/2024,fluocinolone acetonide 0.1 MG/ML Topical Oil,Fluocin Acetate Oil 0.01% Sc
122,127,FLUOCIN ACET Cream 0.01%,HUMANA-Y9623,,,,,1191302,Corticosteroid,00713-0223-60,180,60,$133.96 ,$62.00 ,5/21/2024,240,2,SR-DB : Updated on 11/18/2024,fluocinolone acetonide 0.1 MG/ML Topical Cream,Fluocin Acetate Cream 0.01%
125,128,HYDROCORTISO Cre 2.5%,HUMANA-Y9623,,,,,310891,Medium Potency Topical Steroid,12345-6789-01,,,,,,,,SR-DB : Updated on 11/18/2024,hydrocortisone 25 MG/ML Topical Cream,Hydrocortiso Cream 2.5%
127,130,TRIAMCINOLON Cre 0.1%,HUMANA-Y9623,,,,,1014314,Low Potency Topical Steroid,12345-6789-01,,,,,,,,SR-DB : Updated on 11/18/2024,triamcinolone acetonide 1 MG/ML Topical Cream,Triamcinolon Cream 0.1%
129,132,PIMECROLIMUS Cre 1%,HUMANA-Y9623,,,,,562806,Non-Ster Anti-Inflam,12345-6789-01,,,,,,,,SR-DB : Updated on 11/18/2024,pimecrolimus 10 MG/ML Topical Cream,Pimecrolimus Cream 1%
130,133,TACROLIMUS Oin 0.03%,HUMANA-Y9623,,,,,313189,Non-Ster Anti-Inflam,12345-6789-01,,,,,,,,SR-DB : Updated on 11/18/2024,tacrolimus 0.0003 MG/MG Topical Ointment,Tacrolimus Oin 0.03%
131,134,TACROLIMUS Oin 0.1%,HUMANA-Y9623,,,,,314266,Non-Ster Anti-Inflam,12345-6789-01,,,,,,,,SR-DB : Updated on 11/18/2024,tacrolimus 0.001 MG/MG Topical Ointment,Tacrolimus Oin 0.1%
132,135,CALCIPOTRIEN Cre 0.005%,HUMANA-Y9623,,,,,313921,Keratolytic,12345-6789-01,,,,,,,,SR-DB : Updated on 11/18/2024,calcipotriene 0.05 MG/ML Topical Cream,Calcipotrien Cream 0.005%
132,135,CALCIPOTRIEN Oin 0.005%,HUMANA-Y9623,,,,,198373,Keratolytic,12345-6789-01,,,,,,,,SR-DB : Updated on 11/18/2024,calcipotriene 0.00005 MG/MG Topical Ointment,Calcipotrien Oin 0.005%
134,137,CALCIPOTRIEN BETAMETH Oin,HUMANA-Y9623,,,,,393355,Keratolytic,12345-6789-01,,,,,,,,SR-DB : Updated on 11/18/2024,betamethasone / calcipotriene Topical Ointment,Calcipotrien Betameth Oin
135,138,KETOCONAZOLE Sha 2%,HUMANA-Y9623,,,,,203088,Anti-fungal,12345-6789-01,,,,,,,,SR-DB : Updated on 11/18/2024,ketoconazole 20 MG/ML Topical Cream,Ketoconazole Sha 2%
136,139,OXICONAZOLE Cream 0,HUMANA-Y9623,,,,,56226,Antifungal,51672-1359-03,"-1,830",60,$623.75 ,$138.99 ,8/29/2024,"4,350",71,SR-DB : Updated on 11/18/2024,oxiconazole nitrate,Oxiconazole Cream Nitrate
136,139,OXICONAZOLE Cre,HUMANA-Y9623,,,,,377915,Anti-fungal,12345-6789-01,,,,,,,,SR-DB : Updated on 11/18/2024,oxiconazole Topical Cream,Oxiconazole Cream
139,141,CETIRIZINE Tab 5mg,HUMANA-Y9623,,,,,1014676,Antihistamines,12345-6789-01,,,,,,,,SR-DB : Updated on 11/18/2024,cetirizine hydrochloride 5 MG Oral Tablet,Cetirizine Tablet 5 Mg
141,143,CETIRIZINE Tab 10mg,HUMANA-Y9623,,,,,1014678,Antihistamines,12345-6789-01,,,,,,,,SR-DB : Updated on 11/18/2024,cetirizine hydrochloride 10 MG Oral Tablet,Cetirizine Tablet 10 Mg
142,144,LORATADINE Tab 10mg,HUMANA-Y9623,,,,,311372,Antihistamines,12345-6789-01,,,,,,,,SR-DB : Updated on 11/18/2024,loratadine 10 MG Oral Tablet,Loratadine Tablet 10 Mg
143,146,LOFENA Tab 25mg,HUMANA-Y9623,,,,,2584350,Anti-inflammatory,12345-6789-01,,,,,,,,SR-DB : Updated on 11/18/2024,diclofenac potassium 25 MG Oral Tablet [Lofena],Lofena Tablet 25 Mg
145,148,Ammonium lac Lot 12%,HUMANA-Y9623,,,,,351312,Moisturizer,12345-6789-01,,,,,,,,SR-DB : Updated on 11/18/2024,ammonium lactate 120 MG/ML Topical Lotion [Laclotion],Ammonium Lac Lotion 12%
151,159,CLEMASTINE Syp N/A ,HUMANA-Y9623,,,,,2578,Antihistamines,12345-6789-01,,,,,,,,SR-DB : Updated on 11/18/2024,clemastine,Clemastine Syp N/A
1,1,METRONIDAZOL Gel 1%,IRX-CALPNTP,55,$33.96 ,$5.00 ,,577237,Biopsy Topical ABX,12345-6789-01,,,,,,,,SR-DB : Updated on 11/18/2024,metronidazole 0.01 MG/MG Topical Gel,Metronidazol Gel 1%
2,3,CLINDAMYCIN Lot 1%,IRX-CALPNTP,60,$2.58 ,$5.00 ,,197519,Acne Topical ABX,12345-6789-01,,,,,,,,SR-DB : Updated on 11/18/2024,clindamycin 10 MG/ML Topical Lotion,Clindamycin Lotion 1%
3,4,CLINDAMYCIN Sol 1%,IRX-CALPNTP,60,($0.75),$5.00 ,,309333,Acne Topical ABX,12345-6789-01,,,,,,,,SR-DB : Updated on 11/18/2024,clindamycin 10 MG/ML Topical Solution,Clindamycin Solution 1%
4,5,METRONIDAZOL Cre 0.75%,IRX-CALPNTP,45,($7.11),$4.78 ,,311678,Biopsy Topical ABX,12345-6789-01,,,,,,,,SR-DB : Updated on 11/18/2024,metronidazole 7.5 MG/ML Topical Cream,Metronidazol Cream 0.75%
5,6,METRONIDAZOL Gel 0.75%,IRX-CALPNTP,45,($7.11),$4.78 ,,311679,Biopsy Topical ABX,12345-6789-01,,,,,,,,SR-DB : Updated on 11/18/2024,metronidazole 0.0075 MG/MG Topical Gel,Metronidazol Gel 0.75%
6,7,HYDROCORTISO Lot 0.1%,IRX-CALPNTP,59,28.44,5,,103403,Scalp Topical Steroids,12345-6789-01,,,,,,,,SR-DB : Updated on 11/18/2024,hydrocortisone 10 MG/ML Topical Lotion,Hydrocortiso Lotion 0.1%
7,8,FLURANDRENOL Lot 0.05%,IRX-CALPNTP,120,57.98,5,,197719,Scalp Topical Steroids,12345-6789-01,,,,,,,,SR-DB : Updated on 11/18/2024,flurandrenolide 0.5 MG/ML Topical Lotion,Flurandrenol Lotion 0.05%
8,9,DESONIDE Lot 0.05%,IRX-CALPNTP,59,11.5,5,,197572,Scalp Topical Steroids,12345-6789-01,,,,,,,,SR-DB : Updated on 11/18/2024,desonide 0.5 MG/ML Topical Lotion,Desonide Lotion 0.05%
9,13,CROTAN Lot 10%,IRX-CALPNTP,237,705.26,50,,2049603,Non-Ster Anti-Inflam,12345-6789-01,,,,,,,,SR-DB : Updated on 11/18/2024,crotamiton 100 MG/ML Topical Lotion [Crotan],Crotan Lotion 10%
12,16,DOXYCYCLINE Hyclate Tab 75mg,IRX-CALPNTP,30,$269.97 ,$5.00 ,,350481,ABX Orals,12345-6789-01,,,,,,,,SR-DB : Updated on 11/18/2024,doxycycline 75 MG,Doxycycline Hydrochloride Tablet 75 Mg
12,16,DOXYCYC MONO Tab 75mg,IRX-CALPNTP,30,$269.97 ,$5.00 ,,1649429,ABX Orals,12345-6789-01,,,,,,,,SR-DB : Updated on 11/18/2024,doxycycline monohydrate 75 MG Oral Tablet,Doxycycline Monohydrate Tablet 75 Mg
14,17,DOXYCYC MONO Tab 150mg,IRX-CALPNTP,30,NC,NC,,1650444,ABX Orals,12345-6789-01,,,,,,,,SR-DB : Updated on 11/18/2024,doxycycline monohydrate 150 MG Oral Tablet,Doxycycline Monohydrate Tablet 150 Mg
15,18,CEPHALEXIN Cap 500mg,IRX-CALPNTP,30,($1.06),$2.54 ,,309114,ABX Orals,12345-6789-01,,,,,,,,SR-DB : Updated on 11/18/2024,cephalexin 500 MG Oral Capsule,Cephalexin Capsule 500 Mg
16,20,MINOCYCLINE Cap 100mg,IRX-CALPNTP,30,$1.35 ,$5.00 ,,197984,ABX Orals,12345-6789-01,,,,,,,,SR-DB : Updated on 11/18/2024,minocycline 100 MG Oral Capsule,Minocycline Capsule 100 Mg
17,21,AMNESTEEM Cap 20mg,IRX-CALPNTP,,,,,404061,Accutane,12345-6789-01,,,,,,,,SR-DB : Updated on 11/18/2024,isotretinoin 20 MG Oral Capsule [Amnesteem],Amnesteem Capsule 20 Mg
17,21,AMNESTEEM Cap 40mg,IRX-CALPNTP,,,,,404064,Accutane,12345-6789-01,,,,,,,,SR-DB : Updated on 11/18/2024,isotretinoin 40 MG Oral Capsule [Amnesteem],Amnesteem Capsule 40 Mg
19,23,ISOTRETINOIN Cap 30mg,IRX-CALPNTP,,,,,403930,Accutane,12345-6789-01,,,,,,,,SR-DB : Updated on 11/18/2024,isotretinoin 30 MG Oral Capsule,Isotretinoin Capsule 30 Mg
20,24,ZENATANE Cap 10mg,IRX-CALPNTP,,,,,1373333,Accutane,12345-6789-01,,,,,,,,SR-DB : Updated on 11/18/2024,isotretinoin 10 MG Oral Capsule [Zenatane],Zenatane Capsule 10 Mg
20,24,ZENATANE Capsule 30mg,IRX-CALPNTP,,,,,1605088,Acne Treatment,55111-0113-81,270,30,$744.86 ,$47.49 ,8/16/2023,540,17,SR-DB : Updated on 11/18/2024,isotretinoin 30 MG Oral Capsule [Zenatane],Zenatane 30 Mg Capsule
22,25,IVERMECTIN Cre 1%,IRX-CALPNTP,45,$60.49 ,$5.00 ,,1598068,Acne Topical ABX,12345-6789-01,,,,,,,,SR-DB : Updated on 11/18/2024,ivermectin 10 MG/ML Topical Cream,Ivermectin Cream 1%
23,26,ERY/BENZOYL Gel 5-3%,IRX-CALPNTP,,,,,244374,Acne Topical ABX,12345-6789-01,,,,,,,,SR-DB : Updated on 11/18/2024,benzoyl peroxide 0.05 MG/MG / erythromycin 0.03 MG/MG Topical Gel,Ery/Benzoyl Gel 5-3%
24,27,MUPIROCIN Cre 2%,IRX-CALPNTP,30,-16.44,5,,311877,Biopsy Topical ABX,12345-6789-01,,,,,,,,SR-DB : Updated on 11/18/2024,mupirocin 20 MG/ML Topical Cream,Mupirocin Cream 2%
24,27,MUPIROCIN Oin 2%,IRX-CALPNTP,30,-16.44,5,,106346,Biopsy Topical ABX,12345-6789-01,,,,,,,,SR-DB : Updated on 11/18/2024,mupirocin 0.02 MG/MG Topical Ointment,Mupirocin Oin 2%
26,28,GENTAMICIN Cre 0.1%,IRX-CALPNTP,30,3.4,5,,197735,Biopsy Topical ABX,12345-6789-01,,,,,,,,SR-DB : Updated on 11/18/2024,gentamicin 1 MG/ML Topical Cream,Gentamicin Cream 0.1%
26,28,GENTAMICIN Oin 0.1%,IRX-CALPNTP,30,3.4,5,,310465,Biopsy Topical ABX,12345-6789-01,,,,,,,,SR-DB : Updated on 11/18/2024,gentamicin 0.001 MG/MG Topical Ointment,Gentamicin Oin 0.1%
28,30,BENZOYL PER Wash 10%,IRX-CALPNTP,142,NC,NC,,142034,Facewash,12345-6789-01,,,,,,,,SR-DB : Updated on 11/18/2024,benzoyl peroxide 100 MG/ML Medicated Liquid Soap,Benzoyl Per Wash 10%
32,34,CICLOPIROX Sha 1%,IRX-CALPNTP,120,3.74,5,,250344,Anti-fungal,12345-6789-01,,,,,,,,SR-DB : Updated on 11/18/2024,ciclopirox 10 MG/ML Medicated Shampoo,Ciclopirox Sha 1%
33,35,KETOCONAZOLE Sha 2%,IRX-CALPNTP,120,5.32,5,,203088,Anti-fungal,12345-6789-01,,,,,,,,SR-DB : Updated on 11/18/2024,ketoconazole 20 MG/ML Topical Cream,Ketoconazole Sha 2%
34,36,CLOBETASOL Ointment 0.05%,IRX-CALPNTP,118,2.22,5,,861448,High Potency Steroid,21922-0017-07,"1,020",60,$498.72 ,$3.95 ,3/20/2024,900,13,SR-DB : Updated on 11/18/2024,clobetasol propionate 0.0005 MG/MG Topical Ointment,Clobetasol Oin 0.05%
34,36,CLOBETASOL Sol 0.05%,IRX-CALPNTP,118,2.22,5,,861487,Scalp Topical Steroids,12345-6789-01,,,,,,,,SR-DB : Updated on 11/18/2024,clobetasol propionate 0.5 MG/ML Topical Solution,Clobetasol Solution 0.05%
34,36,CLOBETASOL Foam 0.05%,IRX-CALPNTP,118,2.22,5,,861353,Scalp Topical Steroids,12345-6789-01,,,,,,,,SR-DB : Updated on 11/18/2024,clobetasol propionate 0.5 MG/ML Topical Foam,Clobetasol Foam 0.05%
34,36,CLOBETASOL Gel 0.05%,IRX-CALPNTP,118,2.22,5,,861434,High Potency Topical Steroid,12345-6789-01,,,,,,,,SR-DB : Updated on 11/18/2024,clobetasol propionate 0.0005 MG/MG Topical Gel,Clobetasol Gel 0.05%
38,40,BETAMETH DIP Lot 0.05%,IRX-CALPNTP,30,24,5,,308715,Scalp Topical Steroids,12345-6789-01,,,,,,,,SR-DB : Updated on 11/18/2024,betamethasone 0.5 MG/ML / clotrimazole 10 MG/ML Topical Lotion,Betameth Dip Lotion 0.05%
38,40,CLOTRIM/BETA DIPROP Lotion%,IRX-CALPNTP,30,24,5,,377661,Scalp Topical Steroids,12345-6789-01,,,,,,,,SR-DB : Updated on 11/18/2024,clotrimazole Topical Lotion,Clotrim/Beta Diprop Lotion%
40,41,FLUOCIN ACET Solution 0.01%,IRX-CALPNTP,118.28,3.02,5,,1191299,Corticosteroid,21922-0003-01,"1,020",60,$187.50 ,$9.19 ,8/29/2024,540,7,SR-DB : Updated on 11/18/2024,fluocinolone acetonide 0.1 MG/ML Otic Solution,Fluocin Acetate Solution 0.01%
40,41,FLUOCIN ACET Oil,IRX-CALPNTP,118.28,3.02,5,,385106,Scalp Topical Steroids,12345-6789-01,,,,,,,,SR-DB : Updated on 11/18/2024,fluocinolone Topical Oil,Fluocin Acetate Oil
40,41,FLUOCIN ACET Oil 0.01%,IRX-CALPNTP,118.28,3.02,5,,1191307,Corticosteroid,64980-0330-04,"1,656",118.28,$220.75 ,$12.73 ,8/29/2024,"2,720",23,SR-DB : Updated on 11/18/2024,fluocinolone acetonide 0.1 MG/ML Topical Oil,Fluocin Acetate Oil 0.01% Sc
43,42,FLUOCINONIDE Cre 0.05%,IRX-CALPNTP,60,1.76,5,,103456,High Potency Topical Steroid,12345-6789-01,,,,,,,,SR-DB : Updated on 11/18/2024,fluocinonide 0.5 MG/ML Topical Cream,Fluocinonide Cream 0.05%
44,43,BETAMETH DIP Lot 0.05%,IRX-CALPNTP,60,19.52,5,,308715,Scalp Topical Steroids,12345-6789-01,,,,,,,,SR-DB : Updated on 11/18/2024,betamethasone 0.5 MG/ML / clotrimazole 10 MG/ML Topical Lotion,Betameth Dip Lotion 0.05%
44,43,AUG BETAMET Cre 0.05%,IRX-CALPNTP,60,19.52,5,,238920,High Potency Topical Steroid,12345-6789-01,,,,,,,,SR-DB : Updated on 11/18/2024,betamethasone 0.5 MG/ML Topical Cream,Aug Betamet Cream 0.05%
44,43,CLOTRIM/BETA Cream 1-0.05%,IRX-CALPNTP,60,19.52,5,,308714,Antifungal Combo,16714-0496-02,180,45,$71.42 ,$3.16 ,4/24/2024,315,4,SR-DB : Updated on 11/18/2024,betamethasone 0.5 MG/ML / clotrimazole 10 MG/ML Topical Cream,Clotrim/Beta Cream 1-0.05%
49,45,TAZAROTENE Cre 0.1%,IRX-CALPNTP,30,NC,NC,,313200,Retinoids: Exfoliant,12345-6789-01,,,,,,,,SR-DB : Updated on 11/18/2024,tazarotene 1 MG/ML Topical Cream,Tazarotene Cream 0.1%
50,46,AZELAIC ACID Gel 15%,IRX-CALPNTP,50,$23.04 ,$0.00 ,,1041518,Retinoids: Exfoliant,12345-6789-01,,,,,,,,SR-DB : Updated on 11/18/2024,azelaic acid 0.15 MG/MG Topical Gel,Azelaic Acid Gel 15%
51,47,TRETINOIN Cre 0.025%,IRX-CALPNTP,20,$10.79 ,$0.00 ,,106302,Retinoids: Exfoliant,12345-6789-01,,,,,,,,SR-DB : Updated on 11/18/2024,tretinoin 0.25 MG/ML Topical Cream,Tretinoin Cream 0.025%
52,49,TRETINOIN Cre 0.1%,IRX-CALPNTP,45,$40.33 ,$0.00 ,,198300,Retinoids: Exfoliant,12345-6789-01,,,,,,,,SR-DB : Updated on 11/18/2024,tretinoin 1 MG/ML Topical Cream,Tretinoin Cream 0.1%
53,50,TRETINOIN Gel 0.05%,IRX-CALPNTP,45,$25.40 ,$0.00 ,,245723,Retinoids: Exfoliant,12345-6789-01,,,,,,,,SR-DB : Updated on 11/18/2024,tretinoin 0.0005 MG/MG Topical Gel,Tretinoin Gel 0.05%
54,51,ADAPALENE Gel 0.3%,IRX-CALPNTP,45,$43.75 ,$5.00 ,,722111,Retinoids: Exfoliant,12345-6789-01,,,,,,,,SR-DB : Updated on 11/18/2024,adapalene 0.003 MG/MG Topical Gel,Adapalene Gel 0.3%
55,52,AMCINONIDE Cream 0.1%,IRX-CALPNTP,60,-338.74,5,,197327,Medium Potency Steroid,74157-0006-60,-120,60,"$2,289.63 ",$710.00 ,8/30/2024,"4,620",43,SR-DB : Updated on 11/18/2024,amcinonide 1 MG/ML Topical Cream,Amcinonide Cream 0.1%
56,53,DIFLORASONE Oin 0.05%,IRX-CALPNTP,60,NC,NC,,966607,High Potency Topical Steroid,12345-6789-01,,,,,,,,SR-DB : Updated on 11/18/2024,diflorasone diacetate 0.0005 MG/MG Topical Ointment,Diflorasone Oin 0.05%
